Name,Platform,Publisher,Developer,Genre,Rating,Year_of_Release,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Wii Sports,Wii,Nintendo,Nintendo,Sports,E,2006,76,51,8,322,82.53
Super Mario Bros.,NES,Nintendo,,Platform,,1985,,,,,40.24
Mario Kart Wii,Wii,Nintendo,Nintendo,Racing,E,2008,82,73,8.3,709,35.52
Wii Sports Resort,Wii,Nintendo,Nintendo,Sports,E,2009,80,73,8,192,32.77
Pokemon Red/Pokemon Blue,GB,Nintendo,,Role-Playing,,1996,,,,,31.37
Tetris,GB,Nintendo,,Puzzle,,1989,,,,,30.26
New Super Mario Bros.,DS,Nintendo,Nintendo,Platform,E,2006,89,65,8.5,431,29.8
Wii Play,Wii,Nintendo,Nintendo,Misc,E,2006,58,41,6.6,129,28.92
New Super Mario Bros. Wii,Wii,Nintendo,Nintendo,Platform,E,2009,87,80,8.4,594,28.32
Duck Hunt,NES,Nintendo,,Shooter,,1984,,,,,28.31
Nintendogs,DS,Nintendo,,Simulation,,2005,,,,,24.67
Mario Kart DS,DS,Nintendo,Nintendo,Racing,E,2005,91,64,8.6,464,23.21
Pokemon Gold/Pokemon Silver,GB,Nintendo,,Role-Playing,,1999,,,,,23.1
Wii Fit,Wii,Nintendo,Nintendo,Sports,E,2007,80,63,7.7,146,22.7
Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,Misc,E,2010,61,45,6.3,106,21.81
Wii Fit Plus,Wii,Nintendo,Nintendo,Sports,E,2009,80,33,7.4,52,21.79
Grand Theft Auto V,PS3,Take-Two Interactive,Rockstar North,Action,M,2013,97,50,8.2,3994,21.04
Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,Rockstar North,Action,M,2004,95,80,9,1588,20.81
Super Mario World,SNES,Nintendo,,Platform,,1990,,,,,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo,Misc,E,2005,77,58,7.9,50,20.15
Pokemon Diamond/Pokemon Pearl,DS,Nintendo,,Role-Playing,,2006,,,,,18.25
Super Mario Land,GB,Nintendo,,Platform,,1989,,,,,18.14
Super Mario Bros. 3,NES,Nintendo,,Platform,,1988,,,,,17.28
Grand Theft Auto V,X360,Take-Two Interactive,Rockstar North,Action,M,2013,97,58,8.1,3711,16.27
